Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
1500;16;2,178499937;singlepipette;S1;10/10/2025
1000;16;1,716599941;singlepipette;S1;10/10/2025
750;16;1,261800051;singlepipette;S1;10/10/2025
500;16;0,916599989;singlepipette;S1;10/10/2025
250;16;0,540600002;singlepipette;S1;10/10/2025
125;16;0,327899992;singlepipette;S1;10/10/2025
25;16;0,138799995;singlepipette;S1;10/10/2025
0;16;0,0858;singlepipette;S1;10/10/2025
2000;17;2,739700079;singlepipette;S1;10/10/2025
1500;17;2,379600048;singlepipette;S1;10/10/2025
1000;17;1,577999949;singlepipette;S1;10/10/2025
750;17;1,155500054;singlepipette;S1;10/10/2025
500;17;0,915099978;singlepipette;S1;10/10/2025
250;17;0,539600015;singlepipette;S1;10/10/2025
125;17;0,321999997;singlepipette;S1;10/10/2025
25;17;0,138300002;singlepipette;S1;10/10/2025
0;17;0,087499999;singlepipette;S1;10/10/2025
2000;15;2,445499897;singlepipette;S2;10/10/2025
1500;15;2,102799892;singlepipette;S2;10/10/2025
1000;15;1,505599976;singlepipette;S2;10/10/2025
750;15;1,197399974;singlepipette;S2;10/10/2025
500;15;0,875899971;singlepipette;S2;10/10/2025
250;15;0,507300019;singlepipette;S2;10/10/2025
125;15;0,328700006;singlepipette;S2;10/10/2025
25;15;0,135900006;singlepipette;S2;10/10/2025
0;15;0,093699999;singlepipette;S2;10/10/2025
2000;16;3,063999891;singlepipette;S2;10/10/2025
1500;16;2,138200045;singlepipette;S2;10/10/2025
1000;16;1,457999945;singlepipette;S2;10/10/2025
750;16;1,240200043;singlepipette;S2;10/10/2025
500;16;0,880500019;singlepipette;S2;10/10/2025
250;16;0,527800024;singlepipette;S2;10/10/2025
125;16;0,328900009;singlepipette;S2;10/10/2025
25;16;0,136700004;singlepipette;S2;10/10/2025
0;16;0,0889;singlepipette;S2;10/10/2025
2000;17;2,835299969;singlepipette;S2;10/10/2025
1500;17;2,364900112;singlepipette;S2;10/10/2025
1000;17;1,49969995;singlepipette;S2;10/10/2025
750;17;1,229699969;singlepipette;S2;10/10/2025
500;17;0,841300011;singlepipette;S2;10/10/2025
250;17;0,522700012;singlepipette;S2;10/10/2025
125;17;0,322899997;singlepipette;S2;10/10/2025
25;17;0,138099998;singlepipette;S2;10/10/2025
0;17;0,092200004;singlepipette;S2;10/10/2025
